seed,model,dataset,num_images_evaluated,segmentation_algorithm,explanation_type,auc_evaluation_version,threshold,option,mean_auc,std_auc,avg_time
0,resnet50,imagenet,10000,Quickshift,Concept Correlation SHAP,deletion,0.5,3,22.897295409136184,17.935049268228134,1.8951674735546111
0,vit_b16,imagenet,10000,Fenzelswalb,Concept Correlation SHAP,insertion,0.5,1,84.03507147693931,18.62851952780055,0.6808794565200805
0,vit_b16,imagenet,10000,Fenzelswalb,Concept Correlation SHAP,deletion,0.5,1,5.516680774220326,9.53764953353243,0.6787167146205902
0,vit_b16,imagenet,10000,Fenzelswalb,Concept Correlation SHAP,insertion,0.5,2,83.88808140285768,19.234035306885104,0.2454541952610016
0,mobilenet_v2,imagenet,10000,Quickshift,Concept Correlation SHAP,insertion,0.5,1,80.39821137666607,16.07811636783535,0.188609046459198
0,vit_b16,imagenet,10000,Fenzelswalb,Concept Correlation SHAP,deletion,0.5,2,5.328974601368028,9.505052095432639,0.24374010586738587
0,mobilenet_v2,imagenet,10000,Quickshift,Concept Correlation SHAP,deletion,0.5,1,20.14178890852146,16.71961059669897,0.17746974897384643
0,mobilenet_v2,imagenet,10000,Quickshift,Concept Correlation SHAP,insertion,0.5,2,80.37000455116045,16.0964330023567,0.1869645345211029
0,mobilenet_v2,imagenet,10000,Quickshift,Concept Correlation SHAP,deletion,0.5,2,20.168391579847086,16.739536171516797,0.5049407210350036
0,vit_b16,imagenet,10000,SLIC,Concept Correlation SHAP,insertion,0.5,3,76.4134840352155,21.445027809937145,9.12133854842186
0,mobilenet_v2,imagenet,10000,Quickshift,Concept Correlation SHAP,insertion,0.5,3,80.28576374913679,16.11523305308208,1.2331130394935608
0,mobilenet_v2,imagenet,10000,Quickshift,Concept Correlation SHAP,deletion,0.5,3,20.168688311295323,16.75236119961387,0.9174675729274749
0,vit_b16,imagenet,10000,Fenzelswalb,Concept Correlation SHAP,insertion,0.5,3,83.79718745277458,19.248612348090486,10.553094982624055
0,vit_b16,imagenet,10000,Quickshift,Concept Correlation SHAP,insertion,0.5,1,80.83266788122181,20.68037726998793,0.23911797308921814
0,vit_b16,imagenet,10000,Quickshift,Concept Correlation SHAP,deletion,0.5,1,17.13817223624835,16.756121093286065,0.39599236321449277
0,vit_b16,imagenet,10000,Quickshift,Concept Correlation SHAP,insertion,0.5,2,80.83090018968348,20.68994550039788,0.25451271295547484
0,vit_b16,imagenet,10000,Quickshift,Concept Correlation SHAP,deletion,0.5,2,17.172902609441152,16.727249763856314,0.2765428001880646
0,vit_b16,imagenet,10000,SLIC,Concept Correlation SHAP,deletion,0.5,3,20.545927908213937,18.688318121578213,10.161581224918365
0,resnet18,imagenet,10000,SLIC,Concept Correlation SHAP,insertion,0.5,1,54.6611797405356,25.8154264984009,0.9239058644771576
0,resnet18,imagenet,10000,SLIC,Concept Correlation SHAP,deletion,0.5,1,9.061745233615504,10.80244491421257,0.9888725814819336
0,resnet18,imagenet,10000,SLIC,Concept Correlation SHAP,insertion,0.5,2,54.65256412198022,25.815102028244283,1.0163607461452484
0,resnet18,imagenet,10000,SLIC,Concept Correlation SHAP,deletion,0.5,2,9.057505531841784,10.803746886582637,1.0068895294666291
0,resnet18,imagenet,10000,SLIC,Concept Correlation SHAP,insertion,0.5,3,54.64963731611852,25.827300582363147,2.2562681303024292
0,vit_b16,imagenet,10000,Quickshift,Concept Correlation SHAP,insertion,0.5,3,80.74460441234208,20.65283709509266,7.462143070936203
